community,hospitals,icbs_dominated,icb_names,internal_transfers,incoming_transfers,outgoing_transfers,total_transfers,avg_risk,max_risk,avg_betweenness,avg_in_degree,bridge_edges,top_hospital_code,top_hospital_name,top_hospital_risk
0,10,5,"NHS Birmingham and Solihull Integrated Care Board | NHS Black Country Integrated Care Board | NHS Staffordshire and Stoke-on-Trent Integrated Care Board | NHS Shropshire, Telford and Wrekin Integrated Care Board | NHS Herefordshire and Worcestershire Integrated Care Board",70664,14913,10608,96185,0.2545,0.7854,0.0071,0.375,715,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,0.7854
1,18,8,"NHS Devon Integrated Care Board | NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board | NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board | NHS Dorset Integrated Care Board | NHS Hampshire and Isle of Wight Integrated Care Board | NHS Gloucestershire Integrated Care Board | NHS Somerset Integrated Care Board | NHS Cornwall and the Isles of Scilly Integrated Care Board",50099,11184,11886,73169,0.2033,0.4472,0.0102,0.2724,1010,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,0.4472
2,3,1,NHS Coventry and Warwickshire Integrated Care Board,53098,8094,5508,66700,0.3215,0.5712,0.0078,0.5108,291,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,0.5712
3,28,10,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board | NHS Surrey Heartlands Integrated Care Board | NHS Frimley Integrated Care Board | NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board | NHS Sussex Integrated Care Board | NHS North West London Integrated Care Board | NHS South East London Integrated Care Board | NHS South West London Integrated Care Board | NHS Kent and Medway Integrated Care Board | NHS Hertfordshire and West Essex Integrated Care Board",372329,25493,27731,425553,0.2929,0.889,0.0103,0.4061,1664,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,0.889
4,7,2,NHS North Central London Integrated Care Board | NHS North East London Integrated Care Board,85124,8727,8633,102484,0.3152,0.95,0.0094,0.4251,629,R1H,BARTS HEALTH NHS TRUST,0.95
5,20,3,NHS Cheshire and Merseyside Integrated Care Board | NHS Lancashire and South Cumbria Integrated Care Board | NHS Greater Manchester Integrated Care Board,70505,2822,9369,82696,0.1473,0.8262,0.0058,0.2133,724,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,0.8262
6,9,4,NHS Cambridgeshire and Peterborough Integrated Care Board | NHS Norfolk and Waveney Integrated Care Board | NHS Suffolk and North East Essex Integrated Care Board | NHS Mid and South Essex Integrated Care Board,38623,11044,10680,60347,0.2509,0.9324,0.0079,0.3513,644,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,0.9324
7,8,1,NHS North East and North Cumbria Integrated Care Board,37395,2187,3141,42723,0.1373,0.2214,0.0074,0.2046,354,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,0.2214
8,7,4,"NHS Northamptonshire Integrated Care Board | NHS Nottingham and Nottinghamshire Integrated Care Board | NHS Lincolnshire Integrated Care Board | NHS Leicester, Leicestershire and Rutland Integrated Care Board",35947,4414,17947,58308,0.3632,0.7651,0.0122,0.4482,643,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,0.7651
9,12,3,NHS West Yorkshire Integrated Care Board | NHS South Yorkshire Integrated Care Board | NHS Derby and Derbyshire Integrated Care Board,122975,27715,11600,162290,0.2042,0.6369,0.0057,0.3569,733,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,0.6369
10,3,1,NHS Humber and North Yorkshire Integrated Care Board,126622,12521,12011,151154,0.4816,0.9992,0.0153,0.4812,311,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,0.9992
